Date,City,Zone,Product_Category,Temperature_C,Humidity_%,Rainfall_mm,Wind_Speed_kmph,AQI,Weather_Condition,Units_Sold,Avg_Price_INR,Competitor_Price_INR,Revenue_INR,Inventory_Units,Stockout,Potential_Lost_Units,Potential_Lost_Revenue_INR,Demand_Index,Micro_Climate_Score,Opportunity_Flag
2026-01-01,Gurugram,Sector 57,Energy Drinks,19.9,79.7,9.4,20.1,168,Light Rain,267,129.48,120.58,34571.16,189,Yes,78,10099.44,0.47,32.2,Normal
2026-01-01,Gurugram,Sohna Road,Bottled Water,19.4,77.5,10.9,14.6,120,Rainy,411,30.41,29.32,12498.51,895,No,0,0.0,0.65,30.9,Normal
2026-01-01,Gurugram,Sohna Road,Cold Drinks,16.2,77.3,0.0,16.5,132,Sunny,520,72.46,72.6,37679.2,905,No,0,0.0,0.72,32.3,Normal
2026-01-01,Gurugram,Sohna Road,Ice Cream,19.3,71.4,0.0,18.0,187,Sunny,529,89.55,89.13,47371.95,776,No,0,0.0,0.71,36.7,Normal
2026-01-01,Noida,Sector 137,Ice Cream,16.9,80.1,0.0,16.0,162,Cloudy,500,88.4,79.04,44200.0,804,No,0,0.0,0.67,33.3,Normal
2026-01-01,Noida,Sector 150,Bottled Water,18.2,83.6,0.0,15.0,165,Cloudy,444,29.29,30.54,13004.76,680,No,0,0.0,0.7,36.7,Normal
2026-01-01,Noida,Sector 150,Energy Drinks,16.0,95.0,0.0,8.7,130,Cloudy,443,133.92,139.72,59326.56,743,No,0,0.0,0.79,34.6,Normal
2026-01-01,Noida,Sector 150,Ice Cream,20.7,72.5,0.0,7.7,139,Sunny,626,91.01,90.5,56972.26,627,No,0,0.0,0.84,41.3,Normal
2026-01-01,Noida,Sector 150,Juices,16.5,92.4,0.0,11.6,167,Cloudy,412,78.26,76.93,32243.12,777,No,0,0.0,0.63,34.1,Normal
2026-01-02,Delhi,East Delhi,Bottled Water,14.1,86.0,0.0,9.9,141,Cloudy,341,29.89,25.05,10192.49,782,No,0,0.0,0.54,28.7,Normal
2026-01-02,Delhi,East Delhi,Cold Drinks,16.2,84.5,14.6,16.5,185,Rainy,170,74.5,77.3,12665.0,482,No,0,0.0,0.23,20.0,Normal
2026-01-02,Delhi,North Delhi,Bottled Water,18.3,74.1,0.0,17.7,190,Sunny,492,28.8,26.36,14169.6,747,No,0,0.0,0.78,34.7,Normal
2026-01-02,Delhi,North Delhi,Energy Drinks,15.2,79.8,24.9,14.8,73,Rainy,88,117.04,112.26,10299.52,442,No,0,0.0,0.16,12.4,Normal
2026-01-02,Delhi,South Delhi,Ice Cream,21.6,73.8,0.0,11.5,200,Sunny,510,86.39,89.2,44058.9,726,No,0,0.0,0.68,41.5,Normal
2026-01-02,Delhi,South Delhi,Juices,19.9,89.6,0.0,15.6,138,Cloudy,553,90.95,87.29,50295.35,712,No,0,0.0,0.84,42.1,Normal
2026-01-02,Delhi,West Delhi,Bottled Water,18.0,87.9,0.0,18.9,128,Cloudy,501,24.35,17.32,12199.35,453,Yes,48,1168.8,0.8,38.0,Normal
2026-01-02,Faridabad,NIT,Bottled Water,19.4,77.7,0.0,14.5,143,Sunny,385,31.42,40.78,12096.7,674,No,0,0.0,0.61,38.9,Normal
2026-01-02,Faridabad,NIT,Energy Drinks,19.2,72.1,0.0,17.8,146,Sunny,420,126.92,112.96,53306.4,737,No,0,0.0,0.75,37.7,Normal
2026-01-02,Faridabad,Sector 15,Energy Drinks,18.4,82.8,0.0,10.5,157,Cloudy,399,130.3,134.41,51989.7,456,No,0,0.0,0.71,37.2,Normal
2026-01-02,Faridabad,Sector 15,Ice Cream,22.9,84.8,0.0,17.4,245,Cloudy,528,78.39,75.73,41389.92,914,No,0,0.0,0.71,44.8,Normal
2026-01-02,Faridabad,Sector 37,Bottled Water,21.4,75.7,0.0,13.1,176,Sunny,419,26.58,32.05,11137.02,673,No,0,0.0,0.66,42.2,Normal
2026-01-02,Ghaziabad,Crossings Republik,Bottled Water,22.3,86.3,0.0,8.1,146,Cloudy,586,30.65,31.94,17960.9,560,Yes,26,796.9,0.93,46.7,Normal
2026-01-02,Ghaziabad,Crossings Republik,Cold Drinks,16.6,67.3,0.0,12.9,159,Sunny,505,62.18,59.57,31400.9,745,No,0,0.0,0.7,30.9,Normal
2026-01-02,Ghaziabad,Crossings Republik,Energy Drinks,20.2,84.7,0.0,20.1,170,Cloudy,398,120.61,128.77,48002.78,679,No,0,0.0,0.71,41.0,Normal
2026-01-02,Ghaziabad,Indirapuram,Bottled Water,11.0,80.3,0.0,20.7,126,Cloudy,358,33.69,40.33,12061.02,497,No,0,0.0,0.57,21.6,Normal
2026-01-02,Ghaziabad,Indirapuram,Cold Drinks,22.9,78.0,0.0,6.3,190,Sunny,598,69.15,71.88,41351.7,549,Yes,49,3388.35,0.83,45.4,Normal
2026-01-02,Ghaziabad,Raj Nagar,Bottled Water,20.4,82.9,0.0,9.0,198,Cloudy,379,29.19,31.55,11063.01,717,No,0,0.0,0.6,40.5,Normal
2026-01-02,Ghaziabad,Raj Nagar,Energy Drinks,18.6,82.9,0.0,13.4,116,Cloudy,407,125.25,127.83,50976.75,788,No,0,0.0,0.72,38.8,Normal
2026-01-02,Ghaziabad,Vaishali,Bottled Water,22.8,64.3,0.0,13.7,168,Sunny,462,33.76,34.65,15597.12,955,No,0,0.0,0.73,43.7,Normal
2026-01-02,Ghaziabad,Vaishali,Ice Cream,20.0,81.5,0.0,13.7,187,Cloudy,581,90.96,91.0,52847.76,960,No,0,0.0,0.78,39.5,Normal
2026-01-02,Ghaziabad,Vaishali,Juices,15.8,80.5,0.0,10.3,186,Cloudy,290,82.51,75.12,23927.9,587,No,0,0.0,0.44,30.2,Normal
2026-01-02,Gurugram,Cyber City,Cold Drinks,13.4,91.7,0.0,16.3,125,Cloudy,443,65.57,68.41,29047.51,697,No,0,0.0,0.61,28.5,Normal
2026-01-02,Gurugram,DLF Phase 1,Bottled Water,14.3,77.7,0.0,2.1,207,Sunny,336,28.22,26.07,9481.92,577,No,0,0.0,0.53,25.8,Normal
2026-01-02,Gurugram,DLF Phase 1,Juices,21.5,74.9,0.0,16.4,134,Sunny,573,78.46,69.82,44957.58,602,No,0,0.0,0.87,43.6,Normal
2026-01-02,Gurugram,Sector 57,Cold Drinks,22.1,83.8,0.0,18.5,152,Cloudy,598,69.61,65.05,41626.78,643,No,0,0.0,0.83,45.7,Normal
2026-01-02,Gurugram,Sector 57,Ice Cream,15.7,89.5,0.0,16.3,137,Cloudy,434,87.43,87.99,37944.62,427,Yes,7,612.01,0.58,32.8,Normal
2026-01-02,Gurugram,Sohna Road,Ice Cream,16.4,83.3,0.0,16.7,163,Cloudy,456,92.95,89.63,42385.2,785,No,0,0.0,0.61,32.7,Normal
2026-01-02,Noida,Sector 137,Bottled Water,18.0,73.0,0.0,11.1,160,Sunny,466,26.34,24.52,12274.44,566,No,0,0.0,0.74,34.8,Normal
2026-01-02,Noida,Sector 137,Cold Drinks,16.4,74.5,0.0,24.4,175,Sunny,527,71.85,66.18,37864.95,996,No,0,0.0,0.73,31.1,Normal
2026-01-02,Noida,Sector 150,Bottled Water,13.7,76.9,0.0,11.2,135,Sunny,429,31.3,34.56,13427.7,401,Yes,28,876.4,0.68,26.7,Normal
2026-01-02,Noida,Sector 150,Cold Drinks,18.4,73.2,0.0,10.8,177,Sunny,506,78.24,80.82,39589.44,794,No,0,0.0,0.7,35.1,Normal
2026-01-02,Noida,Sector 150,Ice Cream,17.6,76.1,0.0,12.3,186,Sunny,277,98.21,101.49,27204.17,738,No,0,0.0,0.37,33.5,Normal
2026-01-03,Delhi,North Delhi,Bottled Water,15.9,81.7,0.0,9.4,165,Cloudy,405,30.32,32.97,12279.6,628,No,0,0.0,0.64,31.2,Normal
2026-01-03,Delhi,North Delhi,Cold Drinks,17.8,78.9,0.0,13.1,153,Sunny,520,76.02,67.13,39530.4,1011,No,0,0.0,0.72,35.4,Normal
2026-01-03,Delhi,South Delhi,Bottled Water,17.2,86.1,0.0,19.5,167,Cloudy,428,30.72,32.02,13148.16,656,No,0,0.0,0.68,34.8,Normal
2026-01-03,Delhi,South Delhi,Cold Drinks,15.7,74.7,0.0,15.1,161,Sunny,463,71.72,74.62,33206.36,391,Yes,72,5163.84,0.64,29.9,Normal
2026-01-03,Delhi,South Delhi,Ice Cream,18.4,75.6,0.0,2.0,197,Sunny,555,96.99,89.98,53829.45,847,No,0,0.0,0.74,35.0,Normal
2026-01-03,Delhi,South Delhi,Juices,21.4,78.1,0.0,16.7,191,Sunny,507,76.92,71.08,38998.44,766,No,0,0.0,0.77,42.1,Normal
2026-01-03,Delhi,West Delhi,Cold Drinks,20.3,81.5,0.0,20.6,181,Cloudy,532,60.85,66.25,32372.2,478,Yes,54,3285.9,0.73,40.5,Normal
2026-01-03,Delhi,West Delhi,Energy Drinks,15.9,86.1,11.8,4.3,116,Rainy,194,125.86,122.92,24416.84,494,No,0,0.0,0.34,24.0,Normal
2026-01-03,Faridabad,NIT,Cold Drinks,19.8,73.2,0.0,2.0,132,Sunny,618,73.16,74.81,45212.88,853,No,0,0.0,0.85,39.5,Normal
2026-01-03,Faridabad,Sector 15,Bottled Water,18.9,80.7,0.0,5.8,175,Cloudy,609,28.78,28.82,17527.02,897,No,0,0.0,0.97,37.5,Normal
2026-01-03,Faridabad,Sector 15,Ice Cream,15.4,80.5,0.0,12.2,150,Cloudy,573,92.58,91.39,53048.34,634,No,0,0.0,0.77,30.4,Normal
2026-01-03,Faridabad,Sector 16,Bottled Water,18.7,69.6,0.0,15.2,184,Sunny,427,30.78,32.57,13143.06,463,No,0,0.0,0.68,35.1,Normal
2026-01-03,Faridabad,Sector 16,Energy Drinks,16.8,89.5,15.3,13.2,127,Rainy,184,136.01,124.72,25025.84,205,No,0,0.0,0.33,23.3,Normal
2026-01-03,Faridabad,Sector 16,Ice Cream,14.8,85.6,0.0,10.1,190,Cloudy,389,79.22,75.61,30816.58,526,No,0,0.0,0.52,28.6,Normal
2026-01-03,Faridabad,Sector 16,Juices,18.8,75.8,0.0,10.6,202,Sunny,595,81.33,81.94,48391.35,549,Yes,46,3741.18,0.91,35.6,Normal
2026-01-03,Faridabad,Sector 37,Bottled Water,17.1,93.1,0.0,8.5,158,Cloudy,591,25.73,25.86,15206.43,783,No,0,0.0,0.94,35.8,Normal
2026-01-03,Ghaziabad,Crossings Republik,Energy Drinks,16.8,80.3,0.0,6.9,120,Cloudy,466,118.31,129.46,55132.46,827,No,0,0.0,0.83,34.5,Normal
2026-01-03,Ghaziabad,Indirapuram,Bottled Water,18.7,80.6,0.0,15.9,141,Cloudy,590,29.44,30.13,17369.6,892,No,0,0.0,0.94,37.9,Normal
2026-01-03,Ghaziabad,Indirapuram,Ice Cream,23.3,84.2,0.0,8.4,121,Cloudy,719,88.56,76.3,63674.64,919,No,0,0.0,0.96,49.3,Normal
2026-01-03,Ghaziabad,Raj Nagar,Energy Drinks,19.4,82.4,0.0,5.3,192,Cloudy,421,127.59,117.29,53715.39,586,No,0,0.0,0.75,38.2,Normal
2026-01-03,Ghaziabad,Vaishali,Cold Drinks,16.1,93.2,0.0,9.7,162,Cloudy,514,62.52,57.82,32135.28,923,No,0,0.0,0.71,33.6,Normal
2026-01-03,Ghaziabad,Vaishali,Energy Drinks,16.0,79.1,0.0,17.0,161,Sunny,471,120.66,112.1,56830.86,553,No,0,0.0,0.84,31.2,Normal
2026-01-03,Ghaziabad,Vaishali,Ice Cream,16.4,69.1,0.0,17.1,136,Sunny,604,83.42,79.09,50385.68,1035,No,0,0.0,0.81,31.3,Normal
2026-01-03,Gurugram,Cyber City,Energy Drinks,14.3,69.7,11.6,12.8,148,Rainy,154,111.34,110.11,17146.36,383,No,0,0.0,0.27,17.2,Normal
2026-01-03,Gurugram,DLF Phase 1,Bottled Water,12.1,92.0,0.0,13.4,169,Cloudy,305,28.25,23.67,8616.25,386,No,0,0.0,0.48,24.2,Normal
2026-01-03,Gurugram,DLF Phase 1,Energy Drinks,21.8,77.7,0.0,16.8,95,Sunny,510,103.79,109.03,52932.9,785,No,0,0.0,0.91,45.7,Normal
2026-01-03,Gurugram,Sector 57,Energy Drinks,17.5,77.6,0.0,17.7,149,Sunny,427,131.05,129.29,55958.35,629,No,0,0.0,0.76,34.7,Normal
2026-01-03,Gurugram,Sector 57,Juices,18.9,71.6,0.0,9.4,127,Sunny,623,82.4,80.68,51335.2,734,No,0,0.0,0.95,37.6,Normal
2026-01-03,Gurugram,Sohna Road,Energy Drinks,17.8,81.5,0.0,22.8,163,Cloudy,402,118.19,105.46,47512.38,654,No,0,0.0,0.71,35.5,Normal
2026-01-03,Gurugram,Sohna Road,Juices,23.2,85.0,0.0,14.4,148,Cloudy,711,76.14,70.73,54135.54,751,No,0,0.0,1.09,48.4,Moderate Opportunity
2026-01-03,Noida,Sector 137,Bottled Water,22.4,77.5,0.0,19.7,159,Sunny,572,28.76,23.11,16450.72,527,Yes,45,1294.2,0.91,45.1,Normal
2026-01-03,Noida,Sector 137,Cold Drinks,19.1,82.9,0.0,17.0,152,Cloudy,724,75.2,74.38,54444.8,1108,No,0,0.0,1.0,38.9,Normal
2026-01-03,Noida,Sector 150,Cold Drinks,20.9,82.4,0.0,18.1,231,Cloudy,585,76.23,80.12,44594.55,605,No,0,0.0,0.81,40.5,Normal
2026-01-03,Noida,Sector 150,Ice Cream,15.5,70.7,0.0,12.0,193,Sunny,456,89.55,91.06,40834.8,537,No,0,0.0,0.61,27.9,Normal
2026-01-03,Noida,Sector 18,Bottled Water,23.1,78.3,0.0,12.2,170,Sunny,626,32.28,27.52,20207.28,853,No,0,0.0,0.99,46.5,Normal
2026-01-03,Noida,Sector 18,Cold Drinks,16.5,81.3,0.0,6.2,145,Cloudy,521,62.34,62.97,32479.14,529,No,0,0.0,0.72,33.2,Normal
2026-01-03,Noida,Sector 18,Energy Drinks,19.9,79.4,0.0,16.2,182,Sunny,445,126.24,123.36,56176.8,582,No,0,0.0,0.79,39.3,Normal
2026-01-04,Delhi,East Delhi,Bottled Water,17.1,83.6,0.0,10.9,229,Cloudy,459,28.74,26.09,13191.66,921,No,0,0.0,0.73,32.2,Normal
2026-01-04,Delhi,East Delhi,Cold Drinks,13.4,88.5,0.0,7.1,173,Cloudy,475,63.18,62.65,30010.5,777,No,0,0.0,0.66,26.6,Normal
2026-01-04,Delhi,North Delhi,Energy Drinks,20.6,82.2,0.0,16.1,218,Cloudy,485,114.74,120.11,55648.9,978,No,0,0.0,0.86,40.1,Normal
2026-01-04,Delhi,South Delhi,Cold Drinks,20.2,83.1,0.0,5.8,113,Cloudy,655,71.46,66.93,46806.3,696,No,0,0.0,0.9,42.4,Normal
2026-01-04,Delhi,South Delhi,Energy Drinks,20.1,78.5,0.0,16.0,143,Sunny,590,116.64,114.67,68817.6,521,Yes,69,8048.16,1.05,40.6,Moderate Opportunity
2026-01-04,Faridabad,Sector 16,Bottled Water,20.7,67.6,0.0,18.4,134,Sunny,519,31.43,24.33,16312.17,545,No,0,0.0,0.82,40.7,Normal
2026-01-04,Faridabad,Sector 37,Cold Drinks,15.6,70.3,0.0,19.7,145,Sunny,479,72.18,60.33,34574.22,969,No,0,0.0,0.66,29.5,Normal
2026-01-04,Faridabad,Sector 37,Energy Drinks,16.8,84.7,0.0,7.9,202,Cloudy,293,112.25,117.54,32889.25,568,No,0,0.0,0.52,32.6,Normal
2026-01-04,Ghaziabad,Crossings Republik,Bottled Water,16.4,76.1,0.0,10.4,161,Sunny,364,28.33,29.37,10312.12,796,No,0,0.0,0.58,31.6,Normal
2026-01-04,Ghaziabad,Crossings Republik,Cold Drinks,16.9,84.8,0.0,11.4,147,Cloudy,485,65.31,71.29,31675.35,874,No,0,0.0,0.67,34.5,Normal
2026-01-04,Ghaziabad,Crossings Republik,Juices,16.0,72.9,0.0,2.8,209,Sunny,311,70.83,80.16,22028.13,524,No,0,0.0,0.47,28.8,Normal
2026-01-04,Ghaziabad,Indirapuram,Cold Drinks,19.0,70.1,0.0,3.5,168,Sunny,613,69.92,66.37,42860.96,534,Yes,79,5523.68,0.85,36.3,Normal
2026-01-04,Ghaziabad,Indirapuram,Ice Cream,14.7,82.9,0.0,13.3,209,Cloudy,368,92.37,91.49,33992.16,754,No,0,0.0,0.49,27.5,Normal
2026-01-04,Ghaziabad,Raj Nagar,Energy Drinks,19.2,90.3,0.0,8.5,188,Cloudy,495,116.11,107.32,57474.45,535,No,0,0.0,0.88,39.1,Normal
2026-01-04,Ghaziabad,Vaishali,Energy Drinks,13.6,89.8,0.0,7.9,172,Cloudy,356,118.11,108.95,42047.16,741,No,0,0.0,0.63,27.3,Normal
2026-01-04,Gurugram,Cyber City,Energy Drinks,14.7,79.5,0.0,14.9,181,Sunny,388,118.35,113.2,45919.8,666,No,0,0.0,0.69,27.9,Normal
2026-01-04,Gurugram,Cyber City,Juices,14.4,77.4,0.0,19.9,169,Sunny,358,81.26,70.78,29091.08,465,No,0,0.0,0.55,27.2,Normal
2026-01-04,Gurugram,Sector 57,Bottled Water,19.5,68.0,0.0,21.4,163,Sunny,521,29.53,23.89,15385.13,737,No,0,0.0,0.83,37.2,Normal
2026-01-04,Gurugram,Sohna Road,Cold Drinks,16.8,79.8,0.0,15.0,204,Sunny,437,67.74,61.21,29602.38,756,No,0,0.0,0.6,31.9,Normal
2026-01-04,Gurugram,Sohna Road,Energy Drinks,17.2,81.7,0.0,8.6,157,Cloudy,451,123.22,122.47,55572.22,415,Yes,36,4435.92,0.8,34.5,Normal
2026-01-04,Gurugram,Sohna Road,Ice Cream,13.7,85.7,0.0,7.0,138,Cloudy,464,91.02,81.88,42233.28,480,No,0,0.0,0.62,27.8,Normal
2026-01-04,Noida,Sector 137,Bottled Water,17.6,81.9,0.0,19.0,225,Cloudy,450,29.3,15.72,13185.0,577,No,0,0.0,0.71,33.3,Normal
2026-01-04,Noida,Sector 137,Cold Drinks,16.1,84.9,0.0,13.5,189,Cloudy,498,71.46,79.28,35587.08,600,No,0,0.0,0.69,31.4,Normal
2026-01-04,Noida,Sector 18,Cold Drinks,13.9,89.1,0.0,15.2,159,Cloudy,466,74.17,77.16,34563.22,582,No,0,0.0,0.64,28.1,Normal
2026-01-04,Noida,Sector 18,Ice Cream,13.9,89.9,0.0,5.2,150,Cloudy,528,80.85,70.3,42688.8,766,No,0,0.0,0.71,28.6,Normal
2026-01-04,Noida,Sector 18,Juices,17.4,87.4,0.0,18.1,137,Cloudy,492,83.15,77.36,40909.8,885,No,0,0.0,0.75,36.2,Normal
2026-01-04,Noida,Sector 62,Juices,17.5,88.0,0.0,23.5,184,Cloudy,472,84.08,85.26,39685.76,701,No,0,0.0,0.72,35.1,Normal
2026-01-05,Delhi,East Delhi,Bottled Water,16.6,81.2,17.0,17.6,95,Rainy,339,31.3,27.99,10610.7,399,No,0,0.0,0.54,21.3,Normal
2026-01-05,Delhi,North Delhi,Cold Drinks,17.2,73.2,24.5,5.2,125,Rainy,58,72.13,66.55,4183.54,481,No,0,0.0,0.08,14.4,Normal
2026-01-05,Delhi,North Delhi,Energy Drinks,22.2,66.1,0.0,5.0,162,Sunny,515,122.61,114.73,63144.15,785,No,0,0.0,0.92,42.8,Normal
2026-01-05,Delhi,North Delhi,Ice Cream,23.4,76.4,0.0,19.8,191,Sunny,643,99.88,91.13,64222.84,607,Yes,36,3595.68,0.86,46.1,Normal
2026-01-05,Delhi,South Delhi,Cold Drinks,23.5,57.6,0.0,16.0,163,Sunny,670,69.77,63.27,46745.9,1031,No,0,0.0,0.93,44.4,Normal
2026-01-05,Delhi,West Delhi,Cold Drinks,19.4,80.5,0.0,18.2,94,Cloudy,522,75.83,66.67,39583.26,578,No,0,0.0,0.72,41.0,Normal
2026-01-05,Delhi,West Delhi,Energy Drinks,12.6,88.4,0.0,10.3,137,Cloudy,438,103.52,105.12,45341.76,795,No,0,0.0,0.78,25.8,Normal
2026-01-05,Faridabad,NIT,Cold Drinks,13.6,82.1,0.0,9.6,181,Cloudy,462,71.21,71.76,32899.02,908,No,0,0.0,0.64,25.7,Normal
2026-01-05,Faridabad,NIT,Energy Drinks,20.2,72.1,0.0,11.0,133,Sunny,430,111.6,106.78,47988.0,388,Yes,42,4687.2,0.76,40.2,Normal
2026-01-05,Faridabad,NIT,Ice Cream,14.9,80.5,0.0,11.8,150,Cloudy,427,102.02,101.56,43562.54,760,No,0,0.0,0.57,29.4,Normal
2026-01-05,Faridabad,NIT,Juices,16.5,86.5,0.0,20.8,136,Cloudy,437,82.18,88.94,35912.66,782,No,0,0.0,0.67,34.2,Normal
2026-01-05,Faridabad,Sector 15,Energy Drinks,15.7,92.5,0.0,13.5,157,Cloudy,462,130.7,127.9,60383.4,880,No,0,0.0,0.82,32.7,Normal
2026-01-05,Faridabad,Sector 15,Ice Cream,11.9,85.4,0.0,12.9,125,Cloudy,568,92.18,103.28,52358.24,861,No,0,0.0,0.76,24.2,Normal
2026-01-05,Faridabad,Sector 15,Juices,14.0,75.8,4.8,16.6,177,Light Rain,289,90.95,102.52,26284.55,337,No,0,0.0,0.44,22.1,Normal
2026-01-05,Faridabad,Sector 16,Juices,14.5,74.4,0.0,7.3,119,Sunny,448,79.08,85.23,35427.84,640,No,0,0.0,0.68,28.4,Normal
2026-01-05,Ghaziabad,Crossings Republik,Bottled Water,16.5,72.3,3.1,15.0,159,Light Rain,391,32.77,35.32,12813.07,841,No,0,0.0,0.62,28.9,Normal
2026-01-05,Ghaziabad,Indirapuram,Cold Drinks,17.5,91.8,0.0,4.5,151,Cloudy,592,62.53,69.98,37017.76,647,No,0,0.0,0.82,36.8,Normal
2026-01-05,Ghaziabad,Vaishali,Bottled Water,15.1,87.1,0.0,21.1,184,Cloudy,265,29.85,23.3,7910.25,410,No,0,0.0,0.42,29.8,Normal
2026-01-05,Ghaziabad,Vaishali,Ice Cream,17.4,78.6,0.0,18.8,187,Sunny,482,95.12,83.37,45847.84,622,No,0,0.0,0.65,33.6,Normal
2026-01-05,Gurugram,Cyber City,Cold Drinks,19.3,82.1,0.0,16.8,154,Cloudy,525,70.7,64.52,37117.5,918,No,0,0.0,0.73,39.2,Normal
2026-01-05,Gurugram,Sector 57,Bottled Water,18.1,76.1,0.0,13.7,151,Sunny,438,30.61,20.87,13407.18,736,No,0,0.0,0.7,35.7,Normal
2026-01-05,Gurugram,Sector 57,Cold Drinks,16.3,71.3,0.0,13.6,147,Sunny,474,63.21,63.05,29961.54,429,Yes,45,2844.45,0.65,31.2,Normal
2026-01-05,Gurugram,Sector 57,Ice Cream,17.9,71.4,0.0,20.1,167,Sunny,596,81.74,60.09,48717.04,1085,No,0,0.0,0.8,34.1,Normal
2026-01-05,Gurugram,Sohna Road,Energy Drinks,13.3,77.6,0.0,13.1,157,Sunny,322,100.33,106.42,32306.26,373,No,0,0.0,0.57,25.1,Normal
